cond,SID,text,article_number
self,s635,I live on long island near the water and it makes me nervous to think this could happen to me.,25
self,s636,Greta has inspired me to rally for more to be done by our government to combat climate change.,65
self,s638,Plastics a product that  bring  the  world to end.,67
social,s639,People I know have certain conditions mentioned which put them at risk of Parkinson's disease.,82
self,s640,I personally have the face many Difficult situation due to the climate change....,99
self,s001,How to get rid of children's picky eating habits and get them to eat healthier,2
self,s002,it's really sad that our earth consumes this much plastics because of human,67
social,s003,Breakdown of a bill by senator Schumer about climate change.,73
social,s004,The Federal government is dropping the ball on caring about its' citizens by not spending this money on aid and prevention.,13
social,s005,Endangered animal species act might be overhauled. Because of the job market as a factor. I wonder if it's for the good or the bad.,89
social,s008,All the ways you can prevent clogging your arteries.,84
self,s009,I own a home and live near wooded area that is prone to wildfires,63
social,s010,they can have their children enroll in this program to improve their health,86
social,s012,Sleep apnea can cause obesity.,106
self,s014,There is a new book that helps people make healthier eating choices for their kids.,2
social,s015,This is about what you can consume to reduce or prevent kidney stones naturally.,46
social,s017,The causes of Parkinson's disease are likely to result into heart risks.,82
social,s018,"The loss of hearing may be linked to the increased risk of driving, work, leisure and sports injuries.",90
self,s019,This article discusses if the parents contribute to their child's obesity.,92
self,s020,Climate change may have negative impacts on historical sites in the Mediterranean.,85
self,s021,This article matters to me because the decisions made with carbon emissions around the world could affect my health.,41
social,s024,This talks about reducing waste by buying fewer things locally.,20
social,s025,"The article is discussing how Artificial Intelligence (AI) can be used to map the history of breast cancer patients in order to potentially predict, prevent and treat the disease.",104
social,s028,it related to some of my friends as he has obesity,108
self,s030,"This article is about children's  exercise that consist a hour of running , calisthenics and rousing group games that  can feel children feel happier and more energetic .",86
social,s031,Disposable cleaning products.,47
self,s032,This article is important to me because it explains the safety measures that must be taken in case of floods and other catastrophes due to climate change.,25
self,s036,Benefits of sugary drink ban,94
social,s037,about the management of new technologies in internet,81
social,s038,People who want or don't want energy independence will have something to argue about.,61
